TechInterest,BizInterest,LogicalThinking,Creativity,Leadership,WorkPressure,Teaching,PeopleSkills,Planning,Communication,Stream,SuitableCareer
7,1,10,6,6,9,7,4,5,5,Engineering,Software Engineer
8,3,7,4,5,8,7,9,10,10,Engineering,Mechanical Engineer
10,1,9,4,5,4,8,7,9,6,Engineering,Civil Engineer
10,4,7,5,6,4,9,4,10,4,Engineering,Electrical Engineer
10,3,8,3,5,6,5,5,5,8,Engineering,Software Engineer
9,4,9,4,5,10,7,10,4,10,Engineering,Mechanical Engineer
10,3,10,6,4,10,7,8,4,8,Engineering,Civil Engineer
9,5,9,5,3,5,9,9,4,10,Engineering,Electrical Engineer
8,3,8,6,6,10,4,9,7,7,Engineering,Software Engineer
8,5,8,3,6,6,4,5,6,6,Engineering,Mechanical Engineer
10,5,8,4,6,9,5,4,6,8,Engineering,Civil Engineer
9,3,9,6,5,8,8,7,4,4,Engineering,Electrical Engineer
9,5,9,4,3,10,7,9,8,8,Engineering,Software Engineer
10,1,10,5,4,4,9,7,10,4,Engineering,Mechanical Engineer
8,4,9,5,5,4,9,8,5,5,Engineering,Civil Engineer
9,4,7,5,5,6,5,9,5,8,Engineering,Electrical Engineer
10,4,8,3,6,5,4,6,9,6,Engineering,Software Engineer
10,1,7,4,5,9,9,8,7,4,Engineering,Mechanical Engineer
8,5,7,4,3,7,7,6,10,4,Engineering,Civil Engineer
10,5,7,3,4,5,5,10,6,4,Engineering,Electrical Engineer
8,2,8,6,4,7,6,8,8,10,Engineering,Software Engineer
8,1,8,3,6,9,9,10,4,8,Engineering,Mechanical Engineer
10,5,7,5,4,6,5,10,9,8,Engineering,Civil Engineer
10,3,7,4,5,7,7,7,10,6,Engineering,Electrical Engineer
7,1,9,6,5,9,4,9,4,5,Engineering,Software Engineer
9,4,7,5,6,4,8,4,6,4,Engineering,Mechanical Engineer
10,2,9,5,3,4,8,6,10,4,Engineering,Civil Engineer
10,5,9,5,3,7,10,10,7,10,Engineering,Electrical Engineer
8,1,9,3,4,6,5,5,7,7,Engineering,Software Engineer
7,2,8,6,4,5,6,8,4,10,Engineering,Mechanical Engineer
10,2,8,3,3,5,5,5,9,8,Engineering,Civil Engineer
10,2,10,5,5,9,4,9,6,9,Engineering,Electrical Engineer
8,1,8,6,5,4,6,4,4,9,Engineering,Software Engineer
8,5,7,3,5,6,10,6,7,6,Engineering,Mechanical Engineer
8,2,8,3,4,6,6,6,8,4,Engineering,Civil Engineer
10,2,8,3,5,5,5,8,10,8,Engineering,Electrical Engineer
9,1,10,5,4,8,5,4,9,10,Engineering,Software Engineer
10,1,10,3,4,7,9,6,8,8,Engineering,Mechanical Engineer
8,4,8,3,3,6,5,7,9,8,Engineering,Civil Engineer
7,1,10,6,4,7,8,5,8,9,Engineering,Electrical Engineer
10,3,7,3,6,10,7,5,6,10,Engineering,Software Engineer
7,4,9,3,4,7,9,8,4,10,Engineering,Mechanical Engineer
7,5,7,6,6,7,10,5,6,10,Engineering,Civil Engineer
10,5,7,4,6,7,7,6,9,7,Engineering,Electrical Engineer
9,1,8,3,6,10,9,6,9,5,Engineering,Software Engineer
8,5,7,6,3,9,4,10,8,4,Engineering,Mechanical Engineer
8,1,9,4,5,5,7,8,10,6,Engineering,Civil Engineer
10,2,8,5,6,7,8,7,5,7,Engineering,Electrical Engineer
8,3,7,6,3,6,7,9,6,9,Engineering,Software Engineer
8,2,7,6,6,10,5,8,7,5,Engineering,Mechanical Engineer
10,4,10,3,6,5,8,5,10,6,Engineering,Civil Engineer
10,3,9,5,6,4,7,8,5,10,Engineering,Electrical Engineer
