math_interest,engineering_skills,medicine_interest,arts_creativity,business_interest,agriculture_interest,writing_skill,communication_skill,tech_interest,biology_interest,stress_tolerance,teamwork,logical_reasoning,problem_solving,sports_interest,leadership,language_proficiency,scientific_thinking,cooking_hospitality,risk_taking,career_path
4,5,3,5,5,2,3,3,3,5,4,3,5,2,4,2,4,5,1,4,Software Developer
2,5,4,1,1,3,3,2,4,4,3,4,4,1,3,5,3,5,1,2,Farmer
4,1,4,2,2,1,2,5,2,4,4,4,4,5,3,1,4,2,4,2,Software Developer
2,4,5,2,2,4,2,2,4,4,1,5,5,2,5,2,1,4,4,4,Software Developer
5,1,5,5,1,1,1,1,4,3,3,1,3,3,1,3,5,2,2,1,Software Developer
4,1,4,2,1,5,3,4,3,3,1,3,5,3,1,5,2,3,1,2,Software Developer
2,4,5,3,1,4,5,4,5,5,3,5,4,5,3,3,4,2,2,5,Software Developer
1,5,4,4,4,4,4,3,2,4,1,1,1,1,3,1,4,5,1,3,Biologist
3,1,5,1,3,2,4,3,1,4,1,1,2,4,4,2,3,1,5,1,Software Developer
1,3,1,2,2,4,5,1,1,3,2,5,4,2,4,3,3,1,5,4,Hotel Manager
2,3,1,1,4,3,5,3,4,4,3,4,3,2,3,3,4,4,1,1,Reporter
2,1,3,4,1,1,2,2,3,4,2,1,4,4,1,2,1,4,5,5,Software Developer
3,1,1,3,3,3,4,1,4,3,1,4,4,3,1,3,1,5,2,2,Software Developer
2,3,5,1,4,1,4,1,5,4,3,1,1,4,3,3,5,3,3,3,Software Developer
2,5,1,4,1,5,4,5,3,4,3,1,1,4,4,5,5,3,4,1,Reporter
5,5,1,5,3,4,1,4,5,5,1,3,2,1,2,2,3,2,2,3,Software Developer
2,2,2,1,1,1,3,5,2,2,3,2,1,5,4,2,1,4,5,4,Army Officer
1,4,3,4,2,2,3,1,2,5,2,2,1,4,2,3,4,5,1,5,Biologist
4,4,4,5,4,5,4,3,4,5,2,4,2,3,1,3,4,2,2,5,Software Developer
2,5,1,4,5,1,2,2,1,2,1,5,5,1,5,5,5,3,4,2,Hotel Manager
3,5,1,5,4,5,1,4,5,4,2,2,5,4,1,5,2,2,5,4,Software Developer
2,4,2,2,3,2,1,5,5,4,2,1,4,3,4,4,2,3,4,1,Software Developer
1,5,3,3,5,4,3,1,1,2,3,4,5,5,4,2,5,3,2,3,Software Developer
1,2,5,2,2,2,2,3,1,4,2,5,2,5,3,5,4,1,5,5,Hotel Manager
1,4,2,5,1,3,1,3,4,2,1,5,4,1,5,1,3,1,1,1,Teacher
4,1,5,3,3,1,4,4,5,1,3,4,1,4,4,3,2,5,5,3,Software Developer
4,1,4,3,5,4,5,1,5,5,2,2,2,5,3,5,3,3,2,4,Software Developer
1,2,2,4,1,5,5,2,1,2,3,2,2,5,5,5,3,5,1,4,Farmer
1,1,5,4,4,4,3,5,4,3,2,2,3,3,5,5,2,4,2,4,Marketing Specialist
4,5,1,1,3,5,4,1,4,1,1,1,5,2,4,5,5,5,5,5,Software Developer
3,4,5,4,3,3,4,1,2,1,1,1,5,3,1,3,4,2,4,4,Software Developer
5,2,4,4,2,2,4,2,4,4,5,1,4,3,1,1,1,5,4,5,Software Developer
4,5,5,3,5,2,3,5,1,2,2,2,3,5,5,1,1,2,1,3,Civil Engineer
5,2,1,3,3,1,5,1,2,1,3,1,5,4,1,5,5,3,5,5,Software Developer
5,5,2,2,3,1,5,1,1,3,5,5,4,1,1,2,4,2,2,2,Nurse
3,3,2,4,1,4,5,3,1,1,5,5,2,3,3,4,2,2,2,2,Nurse
3,3,2,4,1,1,4,2,3,1,5,5,4,2,1,2,1,4,4,5,Chef
2,5,2,5,3,3,3,3,1,3,4,4,1,3,3,3,5,2,5,2,Chef
3,3,5,5,2,4,2,5,5,1,5,1,4,2,2,1,2,5,3,1,Software Developer
2,1,1,3,5,1,2,4,1,1,3,5,4,2,4,2,5,2,3,3,Teacher
3,3,4,5,2,2,3,3,1,5,4,2,1,1,2,4,1,1,5,4,Doctor
1,4,2,3,1,5,2,4,2,1,4,3,2,1,5,4,2,2,3,3,Army Officer
5,5,1,1,5,5,4,3,1,3,3,5,4,2,4,4,3,4,1,3,Accountant
1,2,3,2,3,5,4,5,2,4,3,4,1,4,1,4,1,2,5,3,Hotel Manager
4,5,3,3,1,2,2,5,2,4,2,5,2,4,1,5,1,1,1,3,Civil Engineer
3,1,5,4,4,2,5,3,1,2,4,3,3,1,4,5,3,1,5,4,Entrepreneur
3,5,5,5,3,3,2,4,1,5,2,1,2,3,5,1,1,1,1,1,Doctor
2,5,3,3,3,3,2,4,5,1,4,3,4,5,1,1,5,5,3,1,Software Developer
4,2,2,5,3,2,1,5,4,5,4,5,5,5,4,4,5,2,3,3,Software Developer
3,4,4,2,3,3,5,4,3,2,2,3,4,2,5,2,1,1,4,3,Software Developer
4,4,4,4,5,5,2,1,4,2,1,3,5,1,3,1,5,5,2,4,Software Developer
1,1,3,5,1,5,1,2,4,1,5,2,1,3,4,1,2,3,2,2,Army Officer
3,2,3,1,3,3,4,3,3,1,4,5,1,1,5,3,2,4,2,5,Army Officer
1,1,4,1,1,4,4,5,1,1,5,3,3,3,5,1,5,5,3,2,Lawyer
1,3,2,2,4,1,2,3,4,1,5,3,2,2,3,2,4,1,4,2,Lawyer
5,1,1,3,3,5,1,5,3,3,1,4,2,3,3,4,4,5,5,2,Farmer
2,1,5,3,5,3,4,5,4,2,2,1,5,4,3,2,2,3,4,4,Software Developer
5,5,1,2,5,4,3,4,2,4,1,2,3,1,2,3,1,1,2,5,Entrepreneur
1,1,3,4,2,2,5,5,2,5,3,2,5,2,4,1,2,1,5,1,Reporter
2,4,5,2,5,3,1,3,2,4,5,1,5,2,5,1,2,5,4,2,Doctor
2,4,3,1,3,5,4,3,2,5,5,3,3,4,1,3,3,2,5,1,Doctor
2,4,4,3,3,4,3,1,3,5,3,2,1,2,2,5,1,1,1,1,Doctor
1,5,3,2,1,3,3,2,5,4,4,3,2,4,3,5,4,3,3,1,Software Developer
5,1,2,1,1,4,3,5,1,5,1,2,1,4,3,2,1,5,2,2,Software Developer
1,2,5,2,5,1,3,2,3,5,2,4,3,2,3,2,1,3,4,4,Doctor
5,2,3,5,3,2,4,1,4,5,1,5,2,1,5,2,4,2,3,2,Graphic Designer
2,3,5,5,2,3,3,4,5,1,5,5,4,1,4,1,2,1,4,5,Nurse
1,1,3,5,2,4,2,5,1,1,5,1,1,1,4,4,3,2,5,5,Army Officer
5,3,4,3,5,2,1,4,4,3,4,5,5,3,5,2,3,2,1,2,Software Developer
1,1,2,3,5,5,1,1,3,4,2,1,5,3,2,3,2,2,1,3,Software Developer
3,5,5,1,1,4,5,2,3,1,3,3,4,5,1,3,1,2,4,2,Software Developer
1,1,5,3,3,2,4,3,5,2,2,5,4,5,4,5,5,1,2,5,Software Developer
5,3,2,3,2,3,5,5,1,3,4,1,3,3,1,5,3,5,1,5,Reporter
2,4,3,4,5,3,5,2,1,3,2,2,3,5,2,4,2,5,5,4,Entrepreneur
2,5,3,1,1,1,2,4,5,3,3,2,1,2,4,4,5,5,4,4,Biologist
4,2,4,3,1,4,1,2,1,2,3,2,2,5,4,4,3,3,4,5,Software Developer
4,5,3,1,3,3,2,2,2,2,5,4,1,3,5,1,5,5,3,4,Army Officer
2,4,3,3,3,1,4,4,5,5,5,3,4,3,1,5,3,3,1,2,Software Developer
4,2,5,3,1,1,4,2,4,3,4,1,1,5,5,3,2,4,3,5,Software Developer
4,5,4,2,3,4,1,1,4,4,4,1,1,4,5,5,2,3,5,1,Software Developer
5,2,2,3,5,1,1,4,1,3,3,1,1,4,1,4,4,1,2,2,Marketing Specialist
4,1,2,1,1,1,5,1,5,4,2,2,2,2,2,2,2,4,1,3,Software Developer
5,3,3,1,1,1,2,4,2,4,4,3,3,4,4,2,2,3,1,4,Software Developer
2,3,2,4,4,5,1,5,3,2,3,4,5,5,5,3,4,2,2,3,Software Developer
5,1,3,3,4,2,3,3,5,5,1,4,1,5,2,5,4,5,4,4,Software Developer
4,4,4,2,1,3,1,4,2,5,2,4,2,2,4,2,3,3,2,5,Doctor
4,3,5,2,5,1,3,2,4,2,4,2,5,5,5,1,4,5,1,4,Software Developer
2,1,3,1,1,4,2,3,5,5,1,4,4,5,3,2,3,2,5,2,Software Developer
4,1,1,5,4,3,4,1,1,4,4,1,3,5,5,4,5,1,1,4,Software Developer
4,4,3,5,4,2,2,1,5,4,2,5,1,3,5,5,3,5,1,1,Software Developer
3,4,2,4,5,2,3,3,2,1,2,5,1,3,2,4,4,5,4,2,Hotel Manager
2,4,2,5,1,5,5,2,1,2,3,2,2,2,1,2,1,4,3,1,Graphic Designer
4,1,1,3,5,5,1,2,4,2,2,1,1,1,1,5,1,5,5,1,Marketing Specialist
3,4,2,5,4,3,2,2,5,1,3,5,3,1,1,5,1,4,2,5,Entrepreneur
3,4,5,1,1,1,1,3,4,2,3,3,2,2,1,3,5,2,2,4,Software Developer
5,5,2,1,4,5,2,5,4,4,3,2,4,3,3,5,5,3,5,4,Software Developer
1,4,3,3,4,5,5,3,2,5,4,5,4,3,5,4,3,2,4,2,Chef
2,1,5,4,2,1,3,4,2,5,1,2,5,2,4,4,4,1,4,5,Software Developer
2,3,5,5,4,1,2,1,2,2,1,5,2,1,2,3,5,4,2,3,Nurse
4,4,2,1,2,3,4,2,1,2,5,1,3,4,2,1,5,1,5,3,Software Developer
4,3,2,1,5,5,1,1,2,3,5,2,3,2,5,1,1,3,4,3,Army Officer
4,2,2,5,4,5,1,4,3,1,1,3,1,4,5,1,4,2,4,5,Software Developer
4,3,5,2,3,4,5,2,3,2,4,2,1,3,2,4,4,2,4,5,Entrepreneur
5,5,1,2,1,4,1,4,4,3,5,4,3,5,4,4,1,1,5,4,Software Developer
2,1,5,4,4,2,5,4,1,2,5,2,1,5,2,3,1,1,1,3,Doctor
3,4,2,4,2,3,3,4,5,4,2,4,1,2,2,5,3,2,3,4,Graphic Designer
1,5,3,2,3,2,3,2,4,2,2,1,2,1,5,1,4,1,5,4,Army Officer
3,3,1,1,5,5,2,5,2,4,1,4,5,4,4,4,5,4,2,5,Software Developer
4,5,3,2,4,3,3,5,3,2,2,1,2,3,2,5,1,3,1,3,Marketing Specialist
5,1,4,3,4,1,4,4,1,5,4,4,5,4,4,4,2,5,4,5,Software Developer
3,3,4,5,5,5,2,3,5,5,2,2,5,1,5,5,2,2,5,5,Entrepreneur
5,2,5,5,4,1,3,1,4,3,5,4,5,2,4,2,4,4,2,3,Software Developer
1,5,4,5,2,5,2,5,1,1,1,1,1,1,2,4,5,1,2,2,Reporter
2,4,5,4,3,2,3,1,1,4,5,3,5,4,1,5,5,1,3,1,Doctor
5,3,3,1,5,4,5,2,4,3,4,3,3,4,3,3,2,5,5,2,Software Developer
4,1,1,1,2,2,3,1,4,4,1,1,1,2,2,2,5,4,4,3,Biologist
2,5,5,4,2,3,2,1,2,1,1,3,4,2,1,2,4,4,5,4,Software Developer
3,1,5,3,2,1,4,1,2,5,5,5,4,3,3,1,4,5,5,2,Doctor
2,5,5,4,3,2,3,4,5,3,5,5,1,3,3,5,4,1,5,2,Nurse
