TechInterest,BizInterest,LogicalThinking,Creativity,Leadership,WorkPressure,Teaching,PeopleSkills,Planning,Communication,Stream,SuitableCareer
3,5,3,3,3,3,3,1,2,2,Science,Biologist
3,3,5,2,4,1,1,1,3,1,Science,Chemist
2,2,4,4,1,2,5,3,4,5,Arts,Musician
5,3,2,1,5,1,4,2,5,5,Education,Teacher
1,2,5,3,5,2,5,1,5,4,Education,Professor
4,1,2,2,2,2,5,2,1,5,Education,Trainer
5,5,3,4,3,5,1,2,5,4,Commerce,Accountant
1,1,1,2,3,4,1,4,1,3,Science,Biologist
3,4,5,2,2,5,1,2,4,4,Commerce,Entrepreneur
2,4,2,4,2,2,1,1,1,4,Commerce,Entrepreneur
4,4,2,2,3,2,4,3,3,2,Science,Physicist
2,2,3,2,5,4,1,2,1,4,Science,Biologist
5,3,4,2,3,4,5,4,3,5,Technology,Software Developer
5,2,4,1,4,3,1,2,3,2,Technology,AI Engineer
3,4,3,4,3,1,4,5,4,3,Commerce,Entrepreneur
2,4,3,2,4,2,1,5,4,3,Commerce,Financial Analyst
2,5,3,1,3,4,4,1,5,5,Commerce,Financial Analyst
5,2,1,5,4,1,1,5,3,1,Arts,Graphic Designer
2,4,4,4,3,4,3,3,2,4,Commerce,Accountant
1,2,5,5,1,1,3,5,4,5,Arts,Writer
4,4,5,1,4,4,1,5,4,1,Technology,Software Developer
5,3,3,1,4,4,5,4,5,2,Healthcare,Doctor
1,1,3,2,5,2,2,3,5,3,Science,Biologist
4,1,4,2,2,2,2,4,5,1,Technology,Software Developer
4,2,3,4,4,4,4,2,4,1,Healthcare,Nurse
1,2,1,4,1,3,4,5,5,2,Arts,Musician
5,3,4,4,2,2,3,2,5,4,Technology,AI Engineer
3,3,4,4,1,3,2,3,1,5,Arts,Writer
2,1,5,2,2,2,5,3,5,3,Education,Professor
5,3,4,4,3,2,1,1,3,1,Technology,AI Engineer
1,4,1,1,1,4,5,1,2,4,Commerce,Accountant
5,5,3,1,2,4,4,5,4,1,Healthcare,Therapist
4,4,2,2,4,5,4,2,1,4,Commerce,Financial Analyst
4,1,1,4,3,5,2,2,4,2,Healthcare,Nurse
2,5,2,3,1,2,5,5,1,3,Commerce,Accountant
3,1,5,3,4,5,2,5,2,2,Science,Biologist
1,2,4,3,3,3,1,1,4,4,Science,Chemist
4,5,5,4,5,1,1,1,5,3,Technology,Software Developer
3,4,2,1,3,5,5,1,3,4,Commerce,Financial Analyst
2,1,2,2,1,4,4,2,2,3,Education,Trainer
5,2,3,1,5,2,2,1,2,4,Science,Biologist
3,4,5,2,4,4,5,1,2,5,Commerce,Accountant
3,2,4,4,4,4,2,2,1,1,Science,Biologist
4,2,3,3,1,2,4,5,4,1,Science,Physicist
4,2,2,1,2,4,3,3,1,1,Science,Chemist
3,4,3,2,3,3,1,4,3,5,Commerce,Entrepreneur
5,4,2,2,1,2,4,5,2,3,Commerce,Accountant
3,1,3,5,3,2,4,3,5,5,Arts,Graphic Designer
5,3,2,5,1,1,2,3,4,4,Arts,Writer
3,2,4,5,5,5,2,5,3,5,Arts,Writer
3,1,4,4,2,5,2,5,4,5,Arts,Musician
3,2,3,1,2,5,1,4,2,5,Science,Biologist
3,3,4,3,1,2,5,5,2,3,Education,Trainer
3,5,5,4,2,3,2,3,2,2,Arts,Graphic Designer
1,4,3,5,4,2,5,4,5,2,Arts,Graphic Designer
2,4,1,4,2,1,2,3,1,1,Arts,Graphic Designer
1,2,2,2,5,3,3,3,4,1,Science,Physicist
2,2,2,3,2,1,5,5,1,2,Science,Chemist
3,5,4,3,5,1,3,4,4,1,Science,Chemist
1,3,4,5,3,1,4,3,5,1,Arts,Writer
2,5,1,2,2,1,3,1,4,1,Science,Biologist
3,2,1,4,2,1,5,5,4,2,Arts,Musician
