TechInterest,BizInterest,LogicalThinking,Creativity,Leadership,WorkPressure,Teaching,PeopleSkills,Planning,Communication,Stream,SuitableCareer
2,2,2,1,5,4,1,5,2,1,Science,Physicist
2,3,3,5,5,4,1,1,5,3,Science,Chemist
4,1,1,3,5,3,3,5,5,2,Commerce,Auditor
2,2,1,3,2,2,3,3,2,2,Commerce,Auditor
3,4,4,1,5,4,3,1,1,3,Arts,Sociologist
5,1,2,5,3,2,3,1,2,1,Arts,Psychologist
5,2,1,3,1,3,5,2,4,2,Engineering,Mechanical Engineer
5,4,5,5,3,2,4,3,2,2,Engineering,Software Engineer
5,5,5,3,2,5,3,3,4,2,Medicine,Dentist
2,3,3,4,1,2,3,2,5,4,Medicine,Doctor
3,1,5,1,1,3,4,3,1,5,Law,Legal Advisor
3,5,5,4,3,4,2,5,3,3,Law,Lawyer
3,5,1,5,2,4,1,4,5,2,Education,Academic Counselor
4,3,5,4,2,5,5,2,2,5,Education,Teacher
4,3,2,3,5,5,5,2,2,4,Management,Project Manager
3,2,3,2,3,1,2,5,1,5,Management,Operations Manager
5,4,4,3,4,4,5,1,3,1,Design,Fashion Designer
1,3,4,3,3,2,5,5,3,1,Design,Graphic Designer
1,5,4,3,4,1,5,4,4,5,Media,Editor
4,2,2,4,3,2,4,2,2,3,Media,News Anchor
1,1,5,1,1,2,1,1,1,2,Performing Arts,Musician
1,4,5,1,5,3,2,4,3,5,Performing Arts,Musician
2,5,5,3,3,1,4,5,5,3,Fine Arts,Sculptor
5,1,4,3,1,4,5,4,3,1,Fine Arts,Sculptor
5,2,1,5,5,2,1,5,3,3,IT,Cybersecurity Specialist
1,4,1,3,2,2,1,3,3,3,IT,Cloud Architect
2,5,3,1,1,4,1,5,2,1,Agriculture,Agricultural Scientist
5,2,2,4,2,3,5,5,4,5,Agriculture,Agricultural Scientist
1,5,4,4,4,2,1,1,2,3,Hospitality,Chef
3,5,1,4,4,5,1,3,1,1,Hospitality,Event Planner
5,1,4,5,3,4,5,2,4,5,Defense,Navy Officer
4,4,2,4,1,3,2,5,5,4,Defense,Army Officer
4,5,5,4,3,4,5,3,4,4,Sports,Athlete
1,2,5,5,3,4,3,5,3,3,Sports,Coach
4,2,5,3,4,2,5,3,3,5,Public Services,IPS Officer
1,2,5,1,3,4,3,4,2,5,Public Services,Forest Officer
3,1,3,1,2,2,2,5,3,1,Entrepreneurship,Business Consultant
2,1,4,5,1,2,1,4,1,1,Entrepreneurship,Startup Founder
2,5,5,3,4,5,3,2,5,1,Social Work,Community Organizer
1,5,1,1,4,5,5,5,1,2,Social Work,Community Organizer
2,1,2,2,2,1,4,4,3,4,Science,Biologist
1,1,1,1,4,1,5,1,4,4,Science,Biologist
2,1,4,5,4,4,4,4,4,5,Commerce,Auditor
4,5,4,5,1,1,4,5,4,4,Commerce,Banker
4,2,1,1,2,2,4,1,5,4,Arts,Sociologist
4,5,5,2,5,4,2,2,4,4,Arts,Historian
5,3,3,4,2,2,1,1,5,5,Engineering,Mechanical Engineer
5,2,2,2,3,3,4,1,4,3,Engineering,Civil Engineer
3,5,5,2,2,1,2,1,5,4,Medicine,Dentist
4,3,3,5,4,3,1,1,3,1,Medicine,Doctor
2,1,3,4,4,3,5,1,1,5,Law,Judge
5,3,3,3,3,1,1,4,3,2,Law,Legal Advisor
3,4,5,5,3,4,1,1,5,5,Education,Professor
1,3,3,5,5,2,4,5,4,5,Education,Academic Counselor
2,1,3,5,4,1,3,1,4,2,Management,HR Manager
2,3,3,2,3,1,3,1,4,1,Management,Operations Manager
4,3,5,1,1,4,1,3,4,1,Design,Interior Designer
4,2,4,3,2,2,2,2,2,3,Design,Graphic Designer
1,2,1,3,2,1,2,2,1,5,Media,Journalist
5,3,2,3,1,2,5,2,4,2,Media,Editor
4,1,5,1,5,4,1,2,3,3,Performing Arts,Dancer
5,5,5,5,2,3,4,1,5,4,Performing Arts,Dancer
4,5,3,2,3,2,2,5,1,4,Fine Arts,Illustrator
4,3,2,4,5,3,2,2,3,5,Fine Arts,Painter
1,5,1,2,3,4,3,3,3,4,IT,Data Analyst
2,1,2,1,3,5,1,4,4,2,IT,Cybersecurity Specialist
1,2,4,1,5,4,2,4,4,3,Agriculture,Agronomist
1,3,4,4,2,5,3,2,4,3,Agriculture,Agricultural Scientist
4,2,3,1,5,5,1,3,1,4,Hospitality,Hotel Manager
3,1,2,1,4,4,1,4,4,5,Hospitality,Event Planner
3,3,2,2,4,3,3,4,3,3,Defense,Navy Officer
3,3,2,3,4,5,5,3,5,5,Defense,Army Officer
2,2,4,2,4,2,3,1,3,5,Sports,Athlete
2,2,2,1,1,4,1,4,3,1,Sports,Athlete
5,1,3,2,5,4,5,1,1,5,Public Services,Forest Officer
4,4,3,1,4,3,3,5,2,5,Public Services,IAS Officer
1,5,1,3,3,1,5,4,2,5,Entrepreneurship,Startup Founder
1,2,1,1,4,3,2,2,2,5,Entrepreneurship,Startup Founder
4,4,3,2,1,4,5,2,4,4,Social Work,Community Organizer
2,3,4,2,1,1,5,4,3,4,Social Work,Community Organizer
3,5,1,2,5,2,1,3,5,1,Science,Astronomer
5,3,5,5,3,1,1,2,1,3,Science,Biologist
4,4,4,1,4,2,2,5,4,2,Commerce,Stock Broker
5,4,1,2,2,5,5,2,4,3,Commerce,Banker
1,2,5,2,2,3,4,2,4,5,Arts,Philosopher
3,2,1,2,2,2,4,4,3,1,Arts,Psychologist
4,3,5,2,5,1,2,4,5,4,Engineering,Software Engineer
2,2,3,2,5,3,3,1,2,5,Engineering,Software Engineer
4,5,4,5,4,5,5,1,5,3,Medicine,Surgeon
1,4,4,2,3,5,2,5,1,1,Medicine,Pharmacist
2,2,5,5,3,3,1,3,4,2,Law,Legal Advisor
3,4,4,1,3,1,2,2,5,3,Law,Judge
1,1,1,3,2,2,3,4,4,3,Education,Professor
3,2,4,2,5,2,4,5,1,2,Education,Teacher
3,3,3,3,5,5,5,5,3,4,Management,HR Manager
1,1,1,3,3,1,5,5,2,3,Management,HR Manager
3,3,1,1,5,5,3,5,5,4,Design,Graphic Designer
2,5,4,3,5,4,3,2,3,4,Design,Fashion Designer
5,5,5,1,4,1,4,1,3,2,Media,Editor
2,2,2,2,3,2,1,5,1,4,Media,Journalist
3,4,5,2,3,3,3,4,2,5,Performing Arts,Musician
5,3,3,4,5,1,2,2,1,5,Performing Arts,Actor
5,2,4,1,2,4,5,5,5,4,Fine Arts,Sculptor
4,3,1,2,3,5,1,5,4,2,Fine Arts,Sculptor
4,5,1,3,2,4,4,3,3,2,IT,Data Analyst
4,1,3,2,4,5,4,4,1,4,IT,Data Analyst
3,4,1,3,4,1,4,1,2,1,Agriculture,Horticulturist
5,5,2,2,2,4,2,5,5,2,Agriculture,Agronomist
4,4,1,5,3,4,4,2,5,1,Hospitality,Hotel Manager
3,3,2,4,2,3,1,4,1,3,Hospitality,Event Planner
1,3,2,4,3,1,1,5,4,5,Defense,Army Officer
5,3,2,3,4,2,1,2,5,3,Defense,Air Force Pilot
5,4,2,5,2,5,4,3,2,4,Sports,Coach
2,2,5,4,2,5,3,3,1,3,Sports,Sports Analyst
3,5,2,3,2,3,4,3,1,4,Public Services,IAS Officer
3,2,2,4,1,3,2,1,5,1,Public Services,IPS Officer
5,1,2,3,1,1,2,3,2,3,Entrepreneurship,Startup Founder
2,5,1,2,5,3,1,4,5,1,Entrepreneurship,Business Consultant
5,2,1,2,4,5,5,5,4,3,Social Work,NGO Worker
4,5,2,3,5,2,1,2,2,4,Social Work,NGO Worker
2,1,2,5,1,3,5,1,2,5,Science,Physicist
2,4,5,2,3,2,3,3,4,4,Science,Astronomer
4,2,3,1,5,4,2,5,1,5,Commerce,Banker
2,5,1,4,2,1,5,2,3,1,Commerce,Banker
1,2,2,2,1,3,3,2,5,5,Arts,Historian
5,1,5,4,1,2,5,4,2,3,Arts,Philosopher
4,3,3,1,5,4,5,4,2,3,Engineering,Civil Engineer
5,4,2,2,5,3,3,3,3,5,Engineering,Mechanical Engineer
4,2,5,4,3,5,1,2,3,1,Medicine,Doctor
4,3,3,5,3,1,3,5,4,4,Medicine,Dentist
5,2,2,3,5,1,5,2,4,3,Law,Judge
3,2,2,1,1,3,3,2,2,5,Law,Legal Advisor
5,4,1,5,3,5,1,4,5,3,Education,Teacher
5,5,3,1,3,5,1,2,2,1,Education,Professor
2,2,1,4,2,2,4,1,2,4,Management,Operations Manager
1,4,1,2,4,3,1,4,5,1,Management,Operations Manager
3,4,4,5,1,3,2,2,3,2,Design,Fashion Designer
5,1,5,5,4,3,4,2,4,3,Design,Interior Designer
3,2,3,2,2,5,5,3,3,1,Media,News Anchor
2,3,1,5,1,4,3,2,5,5,Media,Editor
1,2,1,5,3,2,2,4,1,4,Performing Arts,Actor
1,4,5,3,5,4,2,4,2,2,Performing Arts,Actor
5,2,5,5,3,2,4,3,4,4,Fine Arts,Sculptor
5,5,3,2,2,4,4,1,1,3,Fine Arts,Painter
3,4,5,4,4,3,1,2,1,4,IT,Cybersecurity Specialist
1,2,4,4,2,4,5,4,5,3,IT,Cybersecurity Specialist
2,4,5,3,4,4,1,4,4,4,Agriculture,Agronomist
4,5,5,2,5,2,4,5,5,5,Agriculture,Horticulturist
1,1,2,3,4,3,4,1,1,2,Hospitality,Event Planner
4,5,2,2,4,3,2,3,4,1,Hospitality,Hotel Manager
4,2,3,4,5,4,1,2,4,2,Defense,Air Force Pilot
5,2,4,5,3,2,5,5,3,2,Defense,Army Officer
5,5,1,2,2,1,1,5,1,3,Sports,Coach
4,2,3,3,4,3,5,3,2,4,Sports,Sports Analyst
3,1,3,5,1,2,3,1,5,4,Public Services,IPS Officer
5,1,2,5,4,3,1,2,5,5,Public Services,IPS Officer
2,1,5,4,4,3,1,2,1,4,Entrepreneurship,Startup Founder
3,3,1,4,2,3,1,2,2,2,Entrepreneurship,Business Consultant
1,2,2,3,2,1,5,3,2,3,Social Work,Community Organizer
4,1,1,3,4,3,1,4,2,1,Social Work,Community Organizer
1,4,2,3,3,5,4,1,3,3,Science,Biologist
3,1,4,1,1,2,1,3,5,3,Science,Physicist
5,5,1,4,3,1,1,1,2,2,Commerce,Auditor
4,3,5,2,3,2,5,1,4,4,Commerce,Stock Broker
5,1,5,2,1,2,1,1,3,2,Arts,Sociologist
5,3,2,2,1,2,3,3,4,4,Arts,Psychologist
4,2,5,1,5,2,4,5,3,2,Engineering,Mechanical Engineer
3,4,5,4,3,1,2,4,4,5,Engineering,Civil Engineer
2,1,2,4,2,1,2,4,4,3,Medicine,Surgeon
3,1,4,3,5,4,5,2,4,2,Medicine,Doctor
2,5,4,2,4,4,5,3,4,1,Law,Judge
5,4,1,5,1,2,2,2,3,1,Law,Legal Advisor
4,2,3,2,5,2,3,3,2,5,Education,Academic Counselor
5,2,3,4,5,4,2,1,1,5,Education,Professor
5,5,2,2,4,3,2,3,2,3,Management,Operations Manager
3,2,3,4,5,4,1,4,1,5,Management,HR Manager
3,4,4,5,2,1,1,2,3,1,Design,Graphic Designer
5,2,4,2,4,2,2,1,3,3,Design,Fashion Designer
1,1,4,1,5,3,2,1,4,1,Media,Editor
3,2,5,4,5,5,3,1,2,2,Media,News Anchor
3,4,3,3,2,3,3,1,2,1,Performing Arts,Actor
4,5,2,2,3,4,2,2,5,3,Performing Arts,Musician
4,4,4,4,2,1,4,4,3,1,Fine Arts,Illustrator
1,3,3,2,3,3,4,2,5,2,Fine Arts,Painter
4,5,2,4,5,1,3,1,4,4,IT,Cybersecurity Specialist
5,3,4,2,1,5,4,5,4,5,IT,Data Analyst
5,4,2,3,2,1,5,5,4,4,Agriculture,Agricultural Scientist
1,1,2,3,5,3,1,5,3,3,Agriculture,Agronomist
1,3,1,3,5,2,1,2,4,2,Hospitality,Hotel Manager
1,2,3,3,3,2,2,4,2,4,Hospitality,Hotel Manager
2,3,5,5,5,4,1,4,1,1,Defense,Air Force Pilot
1,3,2,3,3,5,5,4,2,5,Defense,Army Officer
4,4,3,4,5,1,2,3,1,4,Sports,Coach
1,3,3,1,3,4,1,2,5,5,Sports,Athlete
2,2,1,2,3,3,1,5,2,1,Public Services,IAS Officer
2,3,1,2,5,3,5,5,4,1,Public Services,Forest Officer
3,4,5,5,2,3,4,3,5,4,Entrepreneurship,Startup Founder
3,3,5,2,1,4,2,5,5,4,Entrepreneurship,Business Consultant
3,5,5,2,5,3,2,1,4,4,Social Work,Community Organizer
1,3,1,4,1,5,3,3,1,5,Social Work,Community Organizer
3,3,4,1,5,4,3,1,5,1,Science,Biologist
3,3,5,3,4,5,1,2,3,5,Science,Chemist
3,2,1,3,3,2,2,3,3,1,Commerce,Banker
2,2,2,4,1,5,4,1,3,2,Commerce,Accountant
3,2,2,4,5,1,3,1,1,5,Arts,Philosopher
1,3,5,4,1,1,4,2,4,4,Arts,Historian
1,4,1,3,4,1,1,3,4,1,Engineering,Software Engineer
3,5,5,5,5,1,2,2,2,3,Engineering,Mechanical Engineer
